Seed,Data_Arrival_Rate,Voice_Arrival_Rate,Mean_Delay,Voice_Mean_Delay,Data_Mean_Delay
333333,1.000,50.000,4.34,3.59,42.44
333333,2.000,50.000,7.01,5.53,44.08
333333,3.000,50.000,9.95,7.76,46.34
333333,4.000,50.000,13.01,10.16,48.74
333333,5.000,50.000,16.31,12.81,51.33
333333,6.000,50.000,20.04,15.91,54.59
333333,7.000,50.000,24.12,19.37,58.13
333333,8.000,50.000,28.69,23.35,62.13
333333,9.000,50.000,33.66,27.75,66.51
333333,10.000,50.000,39.43,32.98,71.78
333333,11.000,50.000,46.04,39.03,77.94
333333,12.000,50.000,53.90,46.38,85.30
333333,13.000,50.000,63.18,55.16,94.06
333333,14.000,50.000,74.69,66.18,105.12
333333,15.000,50.000,88.84,79.86,118.84
333333,16.000,50.000,107.10,97.65,136.71
333333,17.000,50.000,131.38,121.46,160.62
333333,18.000,50.000,165.48,155.14,194.25
333333,19.000,50.000,218.74,207.95,247.19
333333,20.000,50.000,315.30,303.96,343.71
333333,21.000,50.000,512.71,501.02,540.60
333333,22.000,50.000,1150.19,1138.41,1177.02
333333,23.000,50.000,68562.17,68542.46,68605.07
333333,24.000,50.000,335283.38,335250.63,335351.71
333333,25.000,50.000,597872.19,597752.30,598112.28
333333,26.000,50.000,853523.04,853322.43,853909.28
333333,27.000,50.000,1102547.13,1102251.41,1103095.34
333333,28.000,50.000,1344993.19,1344853.72,1345242.62
333333,29.000,50.000,1581225.88,1580792.58,1581973.69
333333,30.000,50.000,1811640.38,1811164.20,1812434.83
